id,parentId,type,content,x,y,detailsVisible,intent,expectedAnswer
root,,default,"新卒採用ヒアリング｜SPIN完全版",100,3480,0,"",""
sit,root,default,"① 状況把握 Situation",520,1320,0,"",""
pro,root,default,"② 課題把握 Problem",520,3320,0,"",""
imp,root,default,"③ 影響確認 Implication",520,4520,0,"",""
nee,root,default,"④ ニーズ抽出 Need-payoff",520,5480,0,"",""
sit_bg,sit,default,"話題A｜採用の背景・目的",940,280,0,"",""
sit_target,sit,default,"話題B｜採用ターゲット",940,680,0,"",""
sit_flow,sit,default,"話題C｜選考フロー",940,1160,0,"",""
sit_ch,sit,default,"話題D｜採用チャネル",940,1800,0,"",""
sit_org,sit,default,"話題E｜体制・予算",940,2360,0,"",""
pro_mb,pro,default,"話題F｜母集団・認知",940,2840,0,"",""
pro_flow,pro,default,"話題G｜選考歩留まり",940,3240,0,"",""
pro_dec,pro,default,"話題H｜辞退・承諾",940,3720,0,"",""
imp_biz,imp,default,"話題I｜現場・経営への影響",940,4200,0,"",""
imp_brand,imp,default,"話題J｜ブランドリスク",940,4520,0,"",""
imp_person,imp,default,"話題K｜担当者個人への影響",940,4840,0,"",""
nee_ideal,nee,default,"話題L｜理想状態",940,5160,0,"",""
nee_act,nee,default,"話題M｜未着手施策・意思決定",940,5640,0,"",""
bg_q1,sit_bg,question,"そもそも新卒採用を実施している背景を教えてください。既存社員の補充ですか、それとも事業拡大に向けた増員ですか？",1360,280,0,"採用の目的が補充か拡大かで緊急度・職種優先順位が変わる。課題の根本を掴む起点。","郡山・山形工場の技術担当が高齢化しており、技術継承のための補充採用が中心。"
bg_q1_a,bg_q1,question,"技術継承が目的とのことですが、何年後くらいをリミットとして考えていますか？",1780,280,0,"課題の緊急度を時間軸で把握する。リミットが近いほど即効性のある提案が刺さる。","5〜10年後には現場のベテランが定年を迎える。遅くとも3年以内に若手を育てたい。"
bg_q1_b,bg_q1_a,default,"逆に言うと、今年・来年の採用で失敗し続けると、技術継承が間に合わなくなるリスクがありますか？",2200,280,0,"採用失敗の累積リスクを認識させる。単年の課題ではなく構造的な経営リスクとして格上げする。","正直そのリスクは感じている。毎年2名以下しか入らないと追いつかない。"
bg_q2,sit_bg,question,"いつまでに採用活動を終えたいですか？内定出しの締め切りや入社日の目標はありますか？",1360,120,0,"採用期限を把握することで提案タイミングと支援範囲が決まる。","来年4月入社に向けて10月までに内定承諾を取りたい。"
bg_q2_a,bg_q2,question,"逆算すると、いつから動き始めれば間に合いますか？今の進捗はそのスケジュールに対して順調ですか？",1780,120,0,"スケジュール遅延の有無を確認する。遅れているなら緊急性の根拠になる。","3月からインターン告知を始める予定だが、まだコンテンツが準備できていない。"
bg_q3,sit_bg,question,"今年の採用予定人数と職種の内訳を教えてください。",1360,440,0,"採用ボリュームと職種構成を把握する。理系・技術職의 比率이 높을수록 채용 난이도가 올라간다.","技術職3〜4名。回路設計と機構設計が優先。"
target_q1,sit_target,question,"採用したい方に求めるスキルや経験・学歴を教えてください。必須条件と歓迎条件を分けて教えていただけますか？",1360,600,0,"ターゲット像の解像度を上げる。要件が高すぎると母集団が絞られすぎて採用難に直結する。","理工系学部卒以上が必須。電子・電気系専攻が望ましい。院卒歓迎。"
target_q1_a,target_q1,question,"その要件を満たす学生は、市場にどのくらいいると思いますか？毎年どのくらい卒業していますか？",1780,600,0,"ターゲット母数の認識を確認する。市場の少なさを一緒に認識することで課題の深刻さを共有できる。","正直わからない。理系全体は多いが、電気・電子専攻に限ると少ない印象がある。"
target_q1_b,target_q1_a,question,"その中で地方勤務OKな学生となると、さらに絞られますね。御社が戦える母集団はかなり限られると思いますか？",2200,600,0,"ターゲット設定の厳しさを数値感で認識させる。だからこそ攻めの採用が必要という文脈につなげる。","おそらくそうだと思う。だから毎年苦労している。"
target_q2,sit_target,question,"採用ターゲットの学生に対して、御社はどんな会社として認識されたいですか？",1360,760,0,"採用ブランドの目指す姿を確認する。現状とのギャップが認知・志望度課題の本質になる。","技術力があり地域に根ざしたものづくりの会社として認識されたい。"
target_q2_a,target_q2,question,"今、実際に学生からはどんな会社として見られていると思いますか？理想と現状のギャップはありますか？",1780,760,0,"理想と現実のギャップを本人に語らせる。ブランド課題の自覚を促す。","知られていないか、地味な会社というイメージが強いと思う。"
target_q2_b,target_q2_a,question,"そのギャップを埋めるために、これまで何か取り組んできましたか？",2200,760,0,"過去の取り組みを確認する。未着手なら提案余地が大きい。やってきた場合は効果検証を問う。","インターンを始めたが、まだブランディングまでは手が回っていない。"
flow_q1,sit_flow,question,"選考フローをエントリーから内定承諾まで順番に教えてください。",1360,920,0,"選考設計の全体像を把握する。ステップ数と各段階の目的を確認する。","エントリー→説明会→一次面接→二次面接→最終面接→内定→懇親会→承諾。"
flow_q2,sit_flow,question,"各選考ステップで何名ずつ通過しているか、直近の数字がわかりますか？",1360,1080,0,"歩留まりの全体像を数値で把握する。どのステップで最も落ちているかを特定する。","エントリー40→説明会25→一次15→二次8→最終5→内定4→承諾2。"
flow_q2_a,flow_q2,question,"この数字を見て、どのステップが一番課題だと思いますか？",1780,1080,0,"担当者自身に課題を言語化させる。自分で言った課題は解決意欲が高い。","内定後の承諾率と、インターンから本選考への転換が一番課題だと思う。"
flow_q2_b,flow_q2_a,question,"説明会への参加率（予約→実参加）はどのくらいですか？ドタキャンは多いですか？",2200,1080,0,"説明会の集客力と参加率を確認する。予約後のドタキャンが多い場合はリマインド・接触頻度に課題がある。","予約30名に対し参加25名. 5名はドタキャン. リマインドはメール1回だけ。"
flow_q3,sit_flow,question,"インターンに参加した学生のうち、本選考に進んだのは何名でしたか？",1360,1240,0,"インターン後の転換率を確認する。20%以下なら志望度ケアとフォロー設計が課題。","5名参加して本選考に進んだのは1名のみ。"
flow_q3_a,flow_q3,question,"インターン後に学生へのフォローはしていますか？どんな内容ですか？",1780,1240,0,"フォロー設計の有無を確認する。フォローがなければ離脱は必然で、ここに支援余地がある。","終了後にお礼メールを1通送るだけ。その後の接触はほぼない。"
flow_q3_b,flow_q3_a,question,"インターン後に『他社も見てから決めます』と言われた学生への対応はどうしていますか？",2200,1240,0,"比較検討中の学生へのアプローチを確認する。放置していれば他社に取られる構造になっている。","特に何もしていない。連絡が来るのを待っている状態。"
flow_q4,sit_flow,question,"面接で不合格にする主な理由は何ですか？",1360,1400,0,"不合格理由を把握することでターゲット設定のズレや選考基準の問題を特定できる。","志望度が低い・技術理解が浅い・地方勤務への不安が見える、の3つが多い。"
flow_q4_a,flow_q4,question,"志望度が低い学生が多いとのことですが、それは選考に呼ぶ段階から志望度が低いのか、選考中に下がっているのかどちらだと思いますか？",1780,1400,0,"志望度低下のタイミングを特定する。入口の問題か、選考中のコミュニケーション問題かで打ち手が変わる。","最初から低い学生と、説明会後に下がる学生の両方がいる印象。"
ch_q1,sit_ch,question,"現在使っている採用チャネルをすべて教えてください。（ナビ・DR・スカウト・学校推薦・イベント・インターンなど）",1360,1560,0,"チャネルの全体像を把握する。ナビ依存なら接触チャネルが少なく理系へのリーチが限られる。","マイナビ・リクナビ掲載、学校推薦、昨年からインターン開始。スカウトは継続できていない。"
ch_q2,sit_ch,question,"チャネルごとに何名エントリーがありましたか？",1360,1720,0,"チャネル別の母集団を定量化する。どのチャネルが機能していてどこが弱いかを把握する。","ナビ35名・学校推薦3名・インターン経由2名。スカウトはゼロ。"
ch_q2_a,ch_q2,question,"ナビ経由35名のうち、理系学生は何名でしたか？",1780,1720,0,"ナビの理系リーチ力を確認する。理系比率が低ければナビだけでは理系母集団が作れない証拠になる。","8名程度。文系や専攻違いが多く、ターゲットに合う学生は少ない。"
ch_q2_b,ch_q2_a,question,"ナビに払っている費用に対して、ターゲットの理系学生が8名しか来ないのはコスパが悪いと感じますか？",2200,1720,0,"ナビ費用対効果への問題意識を高める。チャネル見直しの必要性を自覚させる。","そう言われると確かに割高だと思う。でも他に手がわからなくて。"
ch_q3,sit_ch,question,"スカウト媒体を試したとのことですが、返信率や面談転換率はどのくらいでしたか？",1360,1880,0,"スカウトの過去の成果を確認する。返信率が低い場合は文面・ターゲティングに課題がある。","返信率5%以下。文面作成に時間がかかり継続断念した。"
ch_q3_a,ch_q3,question,"スカウトを送った学生のプロフィールは、どのように選んでいましたか？",1780,1880,0,"スカウトの精度を確認する。ターゲット外に送っていれば返信率が低いのは当然。絞り方を改善できる余地がある。","電気・電子系専攻で検索して手当たり次第に送っていた。"
ch_q3_b,ch_q3_a,question,"スカウト文面はどのような内容でしたか？会社の特徴や学生へのメッセージは入っていましたか？",2200,1880,0,"スカウト文面の質を確認する。テンプレート文面では返信率は上がらない。パーソナライズの余地を示す。","定型文に近い内容だった。個別感はあまりなかったと思う。"
ch_q4,sit_ch,question,"学校推薦はどの大学からですか？理工系大学との関係構築はできていますか？",1360,2040,0,"学校推薦の活用度を確認する。地方理工系大学との関係が薄い場合は開拓余地として提案できる。","東北大・宮城大から少数。関係構築はまだ十分でない。"
ch_q4_a,ch_q4,question,"大学のキャリアセンターへの訪問や教授へのアプローチはしていますか？",1780,2040,0,"学校開拓活動の有無を確認する。未実施なら推薦チャネル強化の提案余地がある。","キャリアセンターには求人票を出しているが、訪問はしていない。"
org_q1,sit_org,question,"採用担当は何名体制ですか？専任ですか、兼務ですか？",1360,2200,0,"一人兼務なら工数が構造的に限界。スカウトや丁寧なフォローを継続できない原因になっている。","人事1名で総務兼務。採用だけに集中できない。"
org_q1_a,org_q1,question,"採用業務の中で、一番時間がかかっているのはどの作業ですか？",1780,2200,0,"工数の使い方を把握する。時間を食っている作業が外部委託できるなら直接的な提案余地になる。","説明会の準備と、応募者へのメール対応が一番時間がかかっている。"
org_q1_b,org_q1_a,question,"スカウト送付や学生フォローを一人でやろうとすると、週に何時間くらいかかりますか？",2200,2200,0,"工数の物理的限界を数値で認識させる。外部委託の価値を時間コストで示す準備をする。","週5〜10時間はかかると思う。今の業務量では無理だと思っている。"
org_q2,sit_org,question,"採用にかけている年間予算はざっくりいくらくらいですか？媒体費・イベント費・人件費で分けて教えてください。",1360,2360,0,"投資額の全体像を把握する。後で1名承諾あたりのコストを計算して費用対効果の問題を可視化する。","ナビ2媒体200万・インターン運営50万・その他30万. 計約280万円。"
org_q2_a,org_q2,question,"その予算で昨年の承諾が2名とすると、1名あたり約140万円かかっている計算になります。この数字をどう感じますか？",1780,2360,0,"コスト効率の悪さを数値で突きつける。問題意識を高め、改善へのモチベーションを引き出す。","言われてみると高いですね。もっと効率よくできるはずだと思う。"
org_q3,sit_org,question,"採用の最終意思決定は誰がしていますか？",1360,2520,0,"意思決定構造を把握する。現場が強い場合は技術部門との連携が提案のカギになる。","最終は社長。現場の技術部長の意見も強く反映される。"
pro_mb_q1,pro_mb,question,"エントリーのうち、理系学生は何名くらいいましたか？",1360,2680,0,"母集団の質を確認する。理系が10名以下ならナビ依存では理系にリーチできていない構造的問題がある。","全体40名中, 理系は8名程度。"
pro_mb_q1_a,pro_mb_q1,question,"その8名のうち、実際に御社のターゲット職種（回路・機構設計）に近い専攻の学生は何名でしたか？",1780,2680,0,"ターゲット適合率を確認する。さらに絞り込むと実質的な母集団が極めて少ないことを認識させる。","3〜4名くらい。専攻が近い学生は本当に少ない。"
pro_mb_q2,pro_mb,question,"学生から『御社を知らない』『何をしている会社かわからない』と言われることはありますか？",1360,2840,0,"BtoB低認知の構造を確認する。採用ブランドの欠如が辞退・離脱の一一因になっているかを探る。","よく言われる。電子部品と言ってもピンとこない学生が多い。"
pro_mb_q2_a,pro_mb_q2,question,"説明会やインターンで御社の仕事内容を学生に説明するとき、一番反応が良いのはどんな話ですか？",1780,2840,0,"学生に響くコンテンツを把握する。訴求できる要素を整理して、採用ブランディングの素材にする。","自動車部品に使われていると話すと少し反応が良くなる。"
pro_mb_q2_b,pro_mb_q2_a,question,"その反応が良い話を、エントリー前の学生にも見せる機会はありますか？",2200,2840,0,"認知接点の前倒しを提案する布石にする。説明会前にブランドを作る重要性を認識させる。","今はない。説明会に来てから初めて聞く学生がほとんど。"
pro_mb_q3,pro_mb,question,"競合他社と比較されて負けたと感じるケースはありますか？どの会社に流れていますか？",1360,3000,0,"競合負けのパターンを把握する。東京大手・知名度高い企業に流れているなら地方・認知が主因。","東京の大手メーカーや知名度高い同業他社に流れている。"
pro_flow_q1,pro_flow,question,"説明会参加者が選考に応募しない理由として思い当たることはありますか？",1360,3160,0,"説明会後の離脱原因を探る。コンテンツ・社員の印象・魅力訴求のどこに問題があるか特定する。","地方勤務への不安と、仕事内容がイメージしにくいという声が多い。"
pro_flow_q1_a,pro_flow_q1,question,"説明会で社員が登壇して話す機会はありますか？どんな社員が話しますか？",1780,3160,0,"説明会コンテンツの質を確認する。若手社員のリアルな声は志望度向上に効果的。活用できているかを確認する。","人事の私が一人で話している。社員を呼んだことはない。"
pro_flow_q1_b,pro_flow_q1_a,question,"若手技術者が『実際の仕事の面白さ』を話す機会を作ったら、学生の反応は変わると思いますか？",2200,3160,0,"改善施策への反応を確認する。ポジティブなら社員登壇型説明会の提案につなげる。","それは効果があると思う。ただ現場を巻き込む調整が難しい。"
pro_flow_q2,pro_flow,question,"面接で不合格にした学生の中に、本来採りたかった人材はいましたか？",1360,3320,0,"選考基準のズレを確認する。採りたい人材を落としているなら評価軸の見直しが必要。","技術スキルより志望度で落とすことが多く、スキルある学生を逃したケースがある。"
pro_dec_q1,pro_dec,question,"候補者からの辞退は、どの選考段階で一番多いですか？",1360,3480,0,"辞退が集中するステップを特定する。早期離脱なら認知・魅力訴求、後半離脱なら条件・フォローが課題。","説明会後と内定後の2か所で特に多い。"
pro_dec_q2,pro_dec,question,"辞退した候補者に理由を聞いていますか？どんな理由が多かったですか？",1360,3640,0,"辞退理由を定性的に把握する。地方・知名度・待遇・他社内定のどれが主因かを特定し対策を提案する。","地方勤務が不安・他社で内定が出た・会社の将来性が見えないという声が多い。"
pro_dec_q2_a,pro_dec_q2,question,"『会社の将来性が見えない』と言われたとき、どんな情報を提供すれば安心してもらえると思いますか？",1780,3640,0,"学生の不安を解消するコンテンツの方向性を探る。取引先・技術力・成長性の訴求が必要か確認する。","自動車電動化への対応や、大手との取引実績を伝えればよいかもしれない。"
pro_dec_q3,pro_dec,question,"内定を出した後に辞退されたことはありますか？何名くらいですか？",1360,3800,0,"内定後辞退の実態を把握する。ゴースト辞退も発生しているか確認する。","昨年は4名内定のうち1名辞退・1名は連絡が取れなくなった。"
pro_dec_q3_a,pro_dec_q3,question,"内定承諾までの間、学生とどのくらいの頻度で連絡を取っていましたか？",1780,3800,0,"内定後フォローの頻度を確認する。接触が少ない場合は他社に志望度を逆転される構造になっている。","内定通知後は懇親会の案内を1回出したくらい。個別フォローはほぼしていない。"
pro_dec_q3_b,pro_dec_q3_a,question,"内定後に他社と比較している学生へ、御社の魅力を再度伝える場は設けていましたか？",2200,3800,0,"内定後の再アプローチ設計を確認する。なければ内定後ナーチャリングの提案余地がある。","特に設けていない。承諾を待つだけになっていた。"
pro_dec_q4,pro_dec,question,"内定を出した方のうち、何%くらいが承諾してくれますか？",1360,3960,0,"最終的な承諾率を数値で把握する。60%以下なら内定後フォローの構造的問題がある。","昨年は4名内定で2名承諾. 承諾率50%. 業界平均70%を大きく下回っている。"
imp_biz_q1,imp_biz,question,"採用が計画より少なかった年、現場でどんな問題が起きましたか？",1360,4120,0,"採用未達が現場負担・品質・納期リスクに連鎖することを確認する。採用の話を経営課題に格上げする。","郡山工場が手薄になり残業対応が続いた。一件納期がギリギリになった。"
imp_biz_q1_a,imp_biz_q1,question,"その残業対応は、既存社員のモチベーションや定着率に影響しましたか？",1780,4120,0,"採用不足が既存社員の離職リスクにも波及することを認識させる。悪循環の構造を示す。","不満の声は出ていた。このままだと辞める人が出るかもしれないという危機感がある。"
imp_biz_q2,imp_biz,question,"技術者が不足すると、受注できる案件の量や品質に影響が出ますか？",1360,4280,0,"採用不足が売上機会損失・品質リスクに直結することを認識させる。経営レベルの課題として共有する。","受注を断ったケースが昨年1件あった。品質管理も綱渡りになることがある。"
imp_brand_q1,imp_brand,question,"人手不足が続いた場合、納期対応が遅れてお客様の信頼に影響が出るリスクはありますか？",1360,4440,0,"企業ブランドリスクを認識させる。採用課題が納期遅延→顧客信頼失墜というブランド棄損につながる危険性を示す。","実際にヒヤリとした場面があった. 顧客からのプレッシャーも強まっている。"
imp_brand_q1_a,imp_brand_q1,question,"もし取引先から『最近対応が遅い』というイメージがつき始めたとしたら、売上や受注に影響しますか？",1780,4440,0,"ブランド棄損が具体的な売上リスクに直結することを認識させる。採用課題を財務課題として格上げする。","それは深刻。うちはBtoBなので一度信頼を失うと取引がなくなる可能性がある。"
imp_brand_q2,imp_brand,question,"採用で『地方だから』『BtoBだから』という理由で学生に敬遠されることへの危機感はありますか？",1360,4600,0,"採用ブランドの弱さが中長期の企業ブランドにも影響することを認識させる。","感じている. このままでは優秀な理系学生が来なくなると思っている。"
imp_person_q1,imp_person,question,"採用担当として、一番しんどいのはどのタイミングですか？",1360,4760,0,"個人ニーズの入口。担当者の感情的な疲弊・孤独感を引き出す。共感を示すと信頼関係が一段深まる。","頑張って内定を出しても辞退されるとき。一人でやっているので相談相手もいない。"
imp_person_q1_a,imp_person_q1,question,"辞退された後、『自分の何が悪かったんだろう』と思うことはありますか？",1780,4760,0,"担当者の自責感・孤独感を深く引き出す。仕組みの問題であることを示し、共感から信頼へ転換する。","正直あります。でも何を改善すればいいか自分ではわからない。"
imp_person_q2,imp_person,question,"採用がうまくいかないとき、社内からプレッシャーを感じることはありますか？",1360,4920,0,"担当者が社内で孤立していないかを確認する。上からのプレッシャーが強い場合は個人ニーズが明確になる。","社長や現場から『なぜ取れないのか』と言われることがある。正直しんどい。"
nee_ideal_q1,nee_ideal,question,"もし理系学生が『御社で働きたい』と最初から来てくれたら、採用はどう変わると思いますか？",1360,5080,0,"理想の採用状態を本人に語らせる。量より質の採用へのシフト意識を引き出し提案へのブリッジにする。","最初から前向きな学生に会えれば、面接や説明に集中できる。承諾率も上がるはず。"
nee_ideal_q2,nee_ideal,question,"採用がうまくいった状態とは、佐藤さんにとってどんなイメージですか？",1360,5240,0,"担当者が描く成功像を言語化させる。個人ニーズと組織ニーズの両方を引き出す。","計画通り3〜4名の技術者が入入社し、現場から感謝される状態。自分の仕事に自信を持てる。"
nee_act_q1,nee_act,question,"本当はやりたいけど時間や工数が足りなくてできていない施策はありますか？",1360,5400,0,"スカウト・ナーチャリング等の未着手施策を確認する。やりたいのにできないが外部委託の動機になる。","スカウトをちゃんとやりたい。文章を書く時間がなくて続かなかった。"
nee_act_q2,nee_act,question,"もし外部の専門チームがスカウト運用とフォローを代行してくれるとしたら、どう感じますか？",1360,5560,0,"提案受容性を確認する。ポジティブな反応なら提案に進む。懸念があれば先に払拭する。","それができるなら助かる。自分は面接と学生との関係づくりに集中したい。"
nee_act_q3,nee_act,question,"採用の結果について、社長や上長はどのくらい関心を持っていますか？予算を増やす余地はありますか？",1360,5720,0,"意思決定者の温度感と予算権限を確認する。上長同席の必要性と次回提案の設計に活用する。","社長は技術人材の採用を最重要と言っている。予算は結果次第で増やせる可能性がある。"
nee_act_q4,nee_act,question,"次回、スカウト運用プランと採用コスト改善シミュレーションをお持ちします。1〜2週間後でご都合いかがですか？",1360,5880,0,"その場で次回アポを押さえる。具体的な資料名を出すことで価値を見せ、断りにくい状況を作る。","それは見てみたい。来週か再来週ならいつでも大丈夫。"
